phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
Union#I420#I42.0 Dilated cardiomyopathy,TTN,EFO_0000407,dilated cardiomyopathy,EFO_0000407,dilated cardiomyopathy,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I420#I42.0 Dilated cardiomyopathy,TTN,EFO_0000407,dilated cardiomyopathy,MONDO_0010542,dilated cardiomyopathy 3B,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I420#I42.0 Dilated cardiomyopathy,TTN,EFO_0000407,dilated cardiomyopathy,Orphanet_217607,Familial dilated cardiomyopathy,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I420#I42.0 Dilated cardiomyopathy,TTN,EFO_0000407,dilated cardiomyopathy,Orphanet_154,Familial isolated dilated cardiomyopathy,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I420#I42.0 Dilated cardiomyopathy,TTN,EFO_0000407,dilated cardiomyopathy,Orphanet_137675,Histiocytoid cardiomyopathy,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I420#I42.0 Dilated cardiomyopathy,TTN,EFO_0000407,dilated cardiomyopathy,Orphanet_300751,Familial dilated cardiomyopathy with conduction defect due to LMNA mutation,OTAR_0000006,musculoskeletal or connective tissue disease
Union#C92#C92 Myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,MONDO_0004643,myeloid leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C92#C92 Myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,MONDO_0004643,myeloid leukemia,MONDO_0045024,cancer or benign tumor
Union#C92#C92 Myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,MONDO_0004643,myeloid leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#I42#I42 Cardiomyopathy,TTN,EFO_0000318,cardiomyopathy,EFO_0000318,cardiomyopathy,OTAR_0000006,musculoskeletal or connective tissue disease
Union#I42#I42 Cardiomyopathy,TTN,EFO_0000318,cardiomyopathy,EFO_0000318,cardiomyopathy,OTAR_0000010,respiratory or thoracic disease
Union#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD2,,,,,EFO_0009690,urinary system disease
Union#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD2,,,EFO_0008615,Cystic Kidney Disease,EFO_0009690,urinary system disease
Union#BlockQ60-Q64#Q60-Q64 Congenital malformations of the urinary system,PKD2,,,HP_0010944,Abnormal renal pelvis morphology,EFO_0009690,urinary system disease
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,MONDO_0002492,acute kidney failure,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,MONDO_0002492,acute kidney failure,EFO_0009690,urinary system disease
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,MONDO_0002492,acute kidney failure,MONDO_0045024,cancer or benign tumor
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,HP_0001919,Acute kidney injury,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,HP_0001919,Acute kidney injury,EFO_0009690,urinary system disease
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,HP_0001919,Acute kidney injury,MONDO_0045024,cancer or benign tumor
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_0003884,chronic kidney disease,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_0003884,chronic kidney disease,EFO_0009690,urinary system disease
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_0003884,chronic kidney disease,MONDO_0045024,cancer or benign tumor
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_1002048,kidney failure,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_1002048,kidney failure,EFO_0009690,urinary system disease
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_1002048,kidney failure,MONDO_0045024,cancer or benign tumor
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_1001226,uremia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_1001226,uremia,EFO_0009690,urinary system disease
Union#BlockN17-N19#N17-N19 Renal failure,ASXL1,HP_0000083,Renal insufficiency,EFO_1001226,uremia,MONDO_0045024,cancer or benign tumor
20002#1451#hereditary|genetic haematological disorder,HBB,,,,,EFO_0005803,hematologic disease
20002#1451#hereditary|genetic haematological disorder,HBB,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#C50#C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,,,MONDO_0045024,cancer or benign tumor
40006#BlockC50-C50#C50-C50 Malignant neoplasm of breast,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,EFO_0009529,anemia due to enzyme disorder,EFO_0005803,hematologic disease
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,EFO_0009529,anemia due to enzyme disorder,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,EFO_1001996,Thalassemia,EFO_0005803,hematologic disease
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,EFO_1001996,Thalassemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,Orphanet_232,Sickle cell anemia,EFO_0005803,hematologic disease
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,Orphanet_232,Sickle cell anemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,,,EFO_0005803,hematologic disease
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,EFO_0005558,hemolytic anemia,EFO_0005803,hematologic disease
Union#BlockD55-D59#D55-D59 Haemolytic anaemias,HBB,,,EFO_0005558,hemolytic anemia,OTAR_0000018,"genetic, familial or congenital disease"
40001#C92#C92 Myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#C92#C92 Myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
40001#C92#C92 Myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
41202#Q612#Q61.2 Polycystic kidney| adult type,PKD1,EFO_0008620,Polycystic Kidney Disease,,,EFO_0009690,urinary system disease
40011#9989#Myelodysplastic syndrome| NOS,ASXL1,EFO_0000198,myelodysplastic syndrome,,,OTAR_0000018,"genetic, familial or congenital disease"
40011#9989#Myelodysplastic syndrome| NOS,ASXL1,EFO_0000198,myelodysplastic syndrome,,,MONDO_0045024,cancer or benign tumor
Union#N185#N18.5 Chronic kidney disease| stage 5,PKD1,EFO_0003884,chronic kidney disease,,,EFO_0009690,urinary system disease
41202#BlockN17-N19#N17-N19 Renal failure,PKD1,,,,,EFO_0009690,urinary system disease
Union#C50#C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,EFO_0003869,breast neoplasm,MONDO_0045024,cancer or benign tumor
Union#C50#C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,MONDO_0007254,breast cancer,MONDO_0045024,cancer or benign tumor
Union#C50#C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,Orphanet_145,Hereditary breast and ovarian cancer syndrome,MONDO_0045024,cancer or benign tumor
41202#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41202#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41202#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
40001#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
40001#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
Source of report of I42 (cardiomyopathy),TTN,EFO_0000318,cardiomyopathy,,,OTAR_0000006,musculoskeletal or connective tissue disease
Source of report of I42 (cardiomyopathy),TTN,EFO_0000318,cardiomyopathy,,,OTAR_0000010,respiratory or thoracic disease
Union#BlockZ80-Z99#Z80-Z99 Persons with potential health hazards related to family and personal history and certain conditions influencing health status,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockZ80-Z99#Z80-Z99 Persons with potential health hazards related to family and personal history and certain conditions influencing health status,ASXL1,,,EFO_0005198,transplant outcome measurement,OTAR_0000018,"genetic, familial or congenital disease"
20001#1002#breast cancer,BRCA2,MONDO_0007254,breast cancer,,,MONDO_0045024,cancer or benign tumor
Union#Q446#Q44.6 Cystic disease of liver,PKD1,,,MONDO_0000447,autosomal dominant polycystic liver disease,EFO_0009690,urinary system disease
Union#Q446#Q44.6 Cystic disease of liver,PKD1,,,Orphanet_2924,Isolated polycystic liver disease,EFO_0009690,urinary system disease
Union#Q446#Q44.6 Cystic disease of liver,PKD1,,,EFO_1001286,Caroli Disease,EFO_0009690,urinary system disease
40006#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0045024,cancer or benign tumor
40006#C92#C92 Myeloid leukaemia,ASXL1,EFO_0000222,acute myeloid leukemia,,,MONDO_0023370,neoplastic disease or syndrome
41200#X333#X33.3 Intravenous blood transfusion of platelets,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41200#X333#X33.3 Intravenous blood transfusion of platelets,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41200#X333#X33.3 Intravenous blood transfusion of platelets,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
41272#Q22#Q22 Bilateral excision of adnexa of uterus,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
40011#5#(9590-9999) Hematologic (Leukemias| Lymphomas and related disorders),ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40011#5#(9590-9999) Hematologic (Leukemias| Lymphomas and related disorders),ASXL1,,,,,MONDO_0045024,cancer or benign tumor
40011#5#(9590-9999) Hematologic (Leukemias| Lymphomas and related disorders),ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
41272#W36#W36 Diagnostic puncture of bone,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41272#W36#W36 Diagnostic puncture of bone,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
41272#W36#W36 Diagnostic puncture of bone,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
41200#X33#X33 Other blood transfusion,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41200#X33#X33 Other blood transfusion,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
41200#X33#X33 Other blood transfusion,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
40006#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
40006#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
41202#C50#C50 Malignant neoplasm of breast,BRCA2,MONDO_0007254,breast cancer,,,MONDO_0045024,cancer or benign tumor
41200#Q22#Q22 Bilateral excision of adnexa of uterus,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
40006#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40006#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
40006#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#R31#R31 Unspecified haematuria,COL4A4,HP_0000790,Hematuria,Orphanet_73229,Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures,MONDO_0024458,disease of visual system
Union#R31#R31 Unspecified haematuria,COL4A4,HP_0000790,Hematuria,Orphanet_73229,Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures,EFO_0003966,eye disease
Union#I780#I78.0 Hereditary haemorrhagic telangiectasia,ENG,,,Orphanet_774,Hereditary hemorrhagic telangiectasia,EFO_0000319,cardiovascular disease
Union#I780#I78.0 Hereditary haemorrhagic telangiectasia,ENG,,,Orphanet_774,Hereditary hemorrhagic telangiectasia,OTAR_0000018,"genetic, familial or congenital disease"
41202#BlockC50-C50#C50-C50 Malignant neoplasm of breast,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
20002#1111#asthma,FLG,MONDO_0004979,asthma,,,EFO_0010285,integumentary system disease
20002#1111#asthma,FLG,MONDO_0004979,asthma,,,OTAR_0000010,respiratory or thoracic disease
40001#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
40001#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
40001#BlockC81-C96#C81-C96 Malignant neoplasms| stated or presumed to be primary| of lymphoid| haematopoietic and related tissue,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#ChapterIII#Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#ChapterIII#Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
Union#ChapterIII#Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,ASXL1,,,,,EFO_0005803,hematologic disease
Union#ChapterIII#Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,ASXL1,,,,,MONDO_0023370,neoplastic disease or syndrome
40011#8500#Duct adenocarcinoma,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
Union#N180#N18.0 End-stage renal disease,PKD1,EFO_0003884,chronic kidney disease,,,EFO_0009690,urinary system disease
41272#W365#W36.5 Diagnostic extraction of bone marrow NEC,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41272#W365#W36.5 Diagnostic extraction of bone marrow NEC,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
41272#W365#W36.5 Diagnostic extraction of bone marrow NEC,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
20002#6#renal|urology,PKD1,,,,,EFO_0009690,urinary system disease
Union#BlockF00-F09#F00-F09 Organic| including symptomatic| mental disorders,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41272#ChapterU#Chapter U - Diagnostic Imaging| Testing and Rehabilitation,ASXL1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
41272#ChapterU#Chapter U - Diagnostic Imaging| Testing and Rehabilitation,ASXL1,,,,,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003028,acute myeloblastic leukemia with maturation,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003028,acute myeloblastic leukemia with maturation,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003028,acute myeloblastic leukemia with maturation,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003027,acute myeloblastic leukemia without maturation,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003027,acute myeloblastic leukemia without maturation,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003027,acute myeloblastic leukemia without maturation,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0000222,acute myeloid leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0000222,acute myeloid leukemia,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0000222,acute myeloid leukemia,MONDO_0023370,neoplastic disease or syndrome
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003026,minimally differentiated acute myeloblastic leukemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003026,minimally differentiated acute myeloblastic leukemia,MONDO_0045024,cancer or benign tumor
Union#C920#C92.0 Acute myeloid leukaemia,SRSF2,EFO_0000222,acute myeloid leukemia,EFO_0003026,minimally differentiated acute myeloblastic leukemia,MONDO_0023370,neoplastic disease or syndrome
