acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000102145	both
32	5	ATG_Ahr_CIS	ATG_Ahr_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene response element AhRE, which is responsive to the endogenous human aryl hydrocarbon receptor [GeneSymbol:AHR | GeneID:196 | Uniprot_SwissProt_Accession:P35869].	regulation of transcription factor activity	ahr	ENSG00000106546	ENSG00000162599	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000120738	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000091831	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000169856	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000012504	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000143257	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000168610	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000107175	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000101412	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000007372	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000185591	both
33	5	ATG_AP_1_CIS	ATG_AP_1_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene AP-1, which is responsive to the endogenous human FBJ murine osteosarcoma viral oncogene homolog and jun proto-oncogene [GeneSymbol:FOS & JUN | GeneID:2353 & 3725 | Uniprot_SwissProt_Accession:P01100 & P05412].	regulation of transcription factor activity	fos	ENSG00000170345	ENSG00000106546	both
